date,A/B Testing,AI for Social Good,AI in Education,AI in Gaming,AI in Healthcare,ARIMA,Ablation,Accuracy,Action,Action Recognition,Agent,Algorithmic Bias,Anomaly Detection,Ar,Artificial Intelligence,Attention,Attention Maps,Automl,BERT,Backpropagation,Batch,Batch Normalization,Batch Size,Bayesian Neural Network,Bidirectional,Binary Condition,Binning,Boosting,Bounding Box,Calibration Layer,Candidate Generation,Cassandra,Centroid,Chatbots,Class,Clipping,Computer Vision,Condition,Configuration,Contrastive Learning,Convenience Sampling,Convergence,Convolution,Convolutional Neural Network,Convolutional Operation,Cost,Critic,CycleGAN,Data Analysis,Data Compression,Data Efficiency,Data Fusion,Data Governance,Data Integration,Data Labeling,Data Matching,Data Privacy,Data Synthesis,Data Transformation,Data Warehousing,Dataframe,Decision Forest,Decision Threshold,Decoder,Deep Model,Deep Neural Network,Deep Reinforcement Learning,Depth,Device,Dimensions,Disparate Impact,Disparate Treatment,Divisive Clustering,Document Analysis,Domain Adaptation,Edge AI,Edit Distance,Efficient Neural Networks,Encoder,Ensemble,Environment,Episode,Epoch,Evaluation Metrics,Example,Experience Replay,F1,F1 Score,Feature,Feature Cross,Feature Engineering,Feature Vector,Fingerprint Recognition,Flax,Forecasting,Fraud Detection,Fully Connected Layer,Game Playing AI,Game Theory and AI,Gan,Generalization,Generative Model,Generator,GloVe,Gradient Clipping,Gradient Descent,Graph,Graph Neural Networks,Hallucination,Hashing,Heuristic,Hidden Layer,Hierarchical Clustering,Hyperparameter Tuning,Imbalanced Data,Implicit Bias,Imputation,Individual Fairness,Inference,Information Extraction,Information Gain,Instance,Interpretability,Intersection Over Union (Iou),Iou,Iris Recognition,Item Matrix,Items,Iteration,Jax,Jupyter,K-Fold Cross Validation,K-Means,Keras,Keypoints,Knowledge Transfer,Label,Lambda,Landmarks,Language Model,Language Translation,Latent Dirichlet Allocation,Layer,Leaf,Learning Rate,Least Squares Regression,Linear,Linear Model,Linear Regression,Lit,Log Loss,Logistic Regression,Loss,Loss Curve,Loss Surface,Lstm,Machine Learning,Majority Class,Malware Detection,Matplotlib,Matrix Factorization,Mesh,Meta Learning,Metric,Minority Class,Missing Data,Ml,Mnist,Model,Model Capacity,Model Training,Momentum,MongoDB,Motion Planning,Multi-task Learning,Multiclass Classification,N-Gram,Natural Language Processing,Negative Class,Negative Sampling,Neural Network,Neuron,Nlu,NoSQL,Noise,Novelty Detection,Numerical Data,Numpy,Object Detection,Objective,Objective Function,Offline,One-Hot Encoding,Online,Output Layer,Packed Data,Pandas,Parameter,Partial Derivative,Participation Bias,Pax,Perceptron,Performance,Pipeline,Policy,Pooling,Positive Class,Praxis,Precision,Prediction,PyTorch,Quantile,ROC Curve,Rank (Tensor),Ranking,Recall,Recommendation System,Regression Model,Reinforcement Learning,Reinforcement Learning (Rl),Replica,Responsible AI,Retrieval-Augmented Generation,Return,Reward,Root,Rotational Invariance,SQL,Sampling Bias,Saver,Scaling,Seaborn,Selection Bias,Sequence Model,Shape (Tensor),Shrinkage,Similarity Measure,Smart Cities,Spark,Speech Recognition,Split,State,Static,Static Inference,Stationarity,Step,Step Size,Stride,Summary,T5X,Target,Target Network,Task,Temperature,Tensor,TensorFlow,Test,Text Classification,Text Span,Text-to-Speech,Timestep,Token,Topic Modeling,Tower,Training,Training Set,Transfer Learning,Transformer,Transformer Models,Trigram,UMAP,User Behavior Analytics,Variational Autoencoders,Video Analysis,Virtual Reality and AI,Weight,Weighted Sum,Width,Word2Vec,XGBoost,t-SNE
2022-02-20,68,3,12,11,32,73,27,69,83,46,56,57,81,78,27,87,5,76,38,16,50,69,27,24,96,64,28,53,95,11,5,28,51,52,87,94,87,84,95,15,40,69,73,75,12,98,73,34,92,32,16,41,85,87,64,43,73,99,96,62,85,65,12,65,78,21,91,35,87,90,10,43,4,21,62,23,74,6,87,72,63,60,38,13,90,32,32,56,33,64,80,16,22,82,91,39,18,9,5,61,60,13,72,67,6,31,69,91,91,89,88,70,31,79,19,25,49,16,45,13,34,97,31,5,42,19,28,95,90,64,85,18,48,43,10,70,87,40,51,65,83,17,92,83,97,67,86,22,72,71,21,87,82,82,33,79,90,12,17,19,22,87,44,77,17,55,75,15,90,70,87,60,75,48,17,62,22,32,77,42,17,36,35,95,57,3,37,17,83,96,84,88,65,69,49,13,83,23,79,10,62,95,84,30,90,85,34,56,91,18,86,18,42,28,72,19,78,71,91,13,81,35,0,84,11,78,0,42,64,60,66,28,94,97,22,92,18,32,65,92,74,64,89,0,19,88,100,22,81,2,38,84,83,52,80,63,60,16,60,56,18,74,23,44,76,47,65,60,10,11,15,7,19,77,7,85,19,28,80,77,54
2022-02-27,68,3,15,12,27,70,28,63,84,59,56,27,70,80,26,97,12,70,37,16,48,71,28,20,94,55,28,56,96,8,6,28,50,56,90,93,88,87,92,17,46,80,75,73,11,94,69,35,90,40,15,37,86,86,73,45,78,88,98,56,88,81,7,71,74,22,87,34,88,93,15,51,3,25,53,27,78,4,88,81,69,53,38,12,93,36,22,53,33,60,80,24,22,79,79,40,20,3,2,63,62,15,75,65,8,30,74,83,90,94,94,63,25,84,20,27,56,30,52,10,32,89,28,2,39,20,23,97,91,57,87,14,36,41,9,63,81,39,51,65,79,21,88,84,98,73,78,22,79,70,28,83,88,96,31,84,85,8,11,20,26,90,39,77,18,54,78,14,94,80,90,59,79,72,14,75,13,30,90,41,16,36,35,100,59,9,36,17,91,100,100,95,62,66,51,13,84,22,79,8,61,92,83,28,91,83,35,56,92,18,81,17,35,21,57,21,80,72,94,13,71,36,5,83,11,82,0,54,60,65,96,27,90,89,32,80,14,28,68,91,73,76,94,0,19,84,90,24,86,11,40,80,82,50,78,60,63,14,48,56,24,69,22,48,77,45,68,57,10,15,14,7,17,72,3,88,23,27,70,74,62
2022-03-06,59,3,10,16,25,73,27,65,83,49,59,77,90,80,27,100,8,63,38,18,43,83,25,25,99,82,28,56,99,11,6,30,52,52,91,97,93,90,98,20,45,82,72,82,0,96,71,46,89,36,16,44,83,93,59,40,75,73,90,57,90,69,5,100,82,26,76,37,89,93,13,51,0,22,65,25,74,10,92,72,65,53,37,19,97,34,38,64,36,57,99,15,19,79,80,37,17,3,0,64,63,15,75,71,11,30,74,79,88,87,94,90,26,83,21,27,53,9,56,16,33,92,25,6,39,23,20,95,100,60,94,15,43,60,11,53,85,40,53,56,79,19,91,87,96,53,100,22,80,67,22,86,89,86,32,89,83,12,15,20,27,90,43,73,19,56,76,16,94,100,86,68,87,49,13,70,24,35,99,38,17,37,42,82,56,6,33,18,86,94,91,90,71,70,62,12,90,22,80,11,61,81,89,38,89,96,38,64,92,19,97,18,39,24,59,17,75,72,92,11,70,31,15,84,11,83,9,46,66,63,100,28,93,97,25,100,16,31,72,91,81,69,95,0,17,90,93,24,90,28,38,81,82,50,82,63,63,13,61,56,19,72,26,47,80,48,75,63,10,17,14,8,22,74,6,84,24,28,61,83,41
2022-03-13,71,9,11,15,27,76,24,66,82,56,62,37,85,77,27,98,9,70,37,17,46,83,30,12,90,60,34,56,85,13,5,28,42,54,77,90,98,89,88,22,47,86,75,85,0,97,86,32,95,32,11,44,90,87,51,37,77,76,92,54,93,75,14,75,85,23,74,43,98,92,10,43,5,22,62,26,70,5,93,78,66,54,37,17,93,42,68,74,35,51,70,20,20,72,71,40,28,5,0,69,61,14,77,73,8,28,65,96,89,90,94,86,20,86,22,24,59,22,45,14,31,92,38,0,40,14,37,92,90,66,96,16,40,64,10,46,91,43,52,56,76,24,99,89,95,62,82,22,80,67,25,88,86,80,31,91,87,11,12,20,24,88,45,69,18,55,80,16,93,78,87,64,88,47,11,90,21,33,67,54,19,33,44,84,59,9,34,19,99,84,75,87,54,71,52,13,95,23,73,6,64,85,84,21,87,86,26,63,90,21,92,19,44,21,62,15,73,74,95,14,70,28,0,80,11,82,24,51,61,64,93,28,89,84,26,94,17,34,72,89,79,73,89,0,20,87,91,24,70,12,41,70,81,56,88,66,61,13,68,57,30,72,16,48,83,49,69,64,11,13,16,7,11,86,2,87,18,28,74,76,45
2022-03-20,72,0,11,13,22,72,27,66,77,40,57,47,80,72,26,92,0,74,38,17,44,89,30,28,89,44,28,54,90,12,7,30,51,53,76,86,90,84,93,18,48,87,76,80,0,100,78,21,93,35,12,39,79,90,71,35,77,50,93,54,93,83,8,64,85,25,84,41,87,91,12,50,7,21,74,22,79,9,90,79,60,56,46,16,93,25,100,95,35,54,88,18,15,77,68,39,21,10,0,65,59,13,75,67,9,28,67,63,89,80,89,81,24,67,20,26,56,14,51,13,32,89,41,4,41,18,25,91,94,59,89,23,39,46,8,36,88,40,56,61,77,19,91,85,88,66,86,22,81,63,23,85,86,80,31,91,91,8,16,19,19,90,39,71,7,56,79,17,96,78,88,66,84,41,10,80,27,32,71,40,18,36,42,88,59,13,32,17,93,90,75,89,49,70,53,18,89,22,65,3,60,95,89,19,91,87,27,64,93,16,91,17,40,35,69,19,71,70,90,19,77,30,0,81,9,85,7,51,68,66,89,28,91,83,20,82,9,34,79,98,80,69,91,0,22,86,86,26,77,13,35,75,75,49,91,62,55,12,56,65,27,67,26,50,79,46,74,59,7,12,15,6,18,72,2,92,20,28,76,80,28
2022-03-27,77,0,12,4,26,78,27,67,84,42,56,81,90,76,26,100,9,72,45,15,45,82,30,27,100,44,26,57,98,12,8,32,50,61,78,100,92,100,90,21,55,87,73,85,0,97,74,45,94,36,15,36,90,100,65,46,77,43,88,54,92,85,7,67,87,23,82,39,92,97,12,45,9,22,79,25,78,10,94,79,65,55,37,16,97,34,79,93,36,62,82,18,19,76,61,41,21,8,0,63,61,16,79,66,7,31,76,90,85,85,94,75,27,84,20,28,56,30,55,11,36,96,36,5,44,16,32,88,96,63,100,12,40,39,12,32,89,42,72,61,78,17,91,77,99,68,83,21,81,64,28,96,89,98,32,95,88,10,13,21,31,89,38,76,16,54,77,18,97,79,100,69,94,44,11,96,21,33,68,46,17,32,38,85,59,9,32,19,95,93,82,86,60,71,56,14,100,24,71,8,62,82,91,19,92,84,30,62,94,19,97,19,38,20,71,18,81,74,93,12,75,34,3,83,9,89,0,53,80,67,84,30,95,94,19,78,17,32,66,96,85,63,92,2,19,94,82,25,87,6,39,82,73,52,97,66,54,11,61,59,31,77,27,47,79,52,82,60,10,16,15,7,17,82,3,87,18,28,74,89,65
2022-04-03,85,8,9,13,28,77,28,67,84,48,54,61,93,70,25,91,11,66,43,14,46,87,30,22,86,42,31,56,99,8,4,31,48,53,72,98,88,89,87,17,56,90,67,85,0,97,70,40,97,36,13,41,84,95,62,39,76,53,100,48,100,66,10,64,84,23,93,40,91,88,13,51,5,25,71,22,88,11,86,79,65,57,36,18,93,28,50,73,34,56,100,21,15,77,62,45,20,12,0,56,61,15,79,72,9,31,77,83,90,87,91,71,28,92,27,30,56,18,64,13,35,100,33,6,42,18,23,85,95,63,97,15,41,35,9,28,84,42,74,64,79,24,93,80,95,64,87,22,89,67,22,88,84,98,31,96,90,11,12,21,23,90,39,76,21,52,79,18,92,80,99,68,100,47,10,95,22,34,74,49,19,35,45,86,55,9,36,19,100,88,83,81,33,66,51,14,97,21,76,8,65,88,95,18,94,88,28,71,85,19,99,20,43,15,63,18,89,77,90,16,71,26,5,88,8,87,7,50,81,65,79,30,92,98,26,84,17,35,65,89,88,63,94,3,22,85,92,24,88,16,40,100,73,55,86,69,54,11,63,51,21,68,21,45,78,48,83,60,10,15,16,3,20,86,6,90,24,28,70,86,64
2022-04-10,72,0,10,17,26,77,26,63,80,50,53,71,82,71,24,89,9,67,42,16,41,80,26,22,83,46,23,51,90,13,6,32,43,48,74,89,84,79,79,19,42,83,74,83,50,98,76,41,86,34,10,37,76,80,60,32,72,41,82,47,86,65,5,61,83,24,84,33,85,85,14,55,6,21,73,23,57,6,82,74,57,56,38,16,79,37,54,76,30,56,78,15,14,73,43,36,19,6,4,61,53,12,74,70,8,28,66,71,95,74,84,74,26,82,20,28,56,21,47,12,28,87,26,3,45,16,20,90,84,65,87,18,46,36,10,23,77,41,49,50,76,10,94,83,86,68,74,21,83,63,25,88,83,84,25,91,84,11,12,19,22,93,40,70,17,56,87,17,89,71,83,59,83,46,15,92,21,30,61,33,18,30,39,80,56,4,27,17,91,85,78,88,75,65,52,13,88,20,63,7,63,89,86,16,86,80,26,68,84,20,95,19,36,14,56,23,76,74,88,15,74,27,2,87,17,80,15,45,56,70,81,28,94,86,32,78,18,27,69,83,94,69,82,0,19,83,91,23,75,11,39,77,62,53,81,57,48,10,50,56,24,61,27,46,71,45,71,55,10,17,14,10,18,80,4,92,17,27,90,79,33
2022-04-17,81,3,13,13,30,78,30,67,82,56,60,70,80,62,25,92,11,73,40,16,44,100,31,18,86,44,28,56,99,7,7,34,45,51,82,96,90,81,82,20,54,82,82,92,0,99,72,33,99,41,13,41,87,84,66,40,81,40,89,49,90,81,10,62,93,25,87,37,89,91,13,55,7,23,66,20,91,7,92,78,65,55,35,18,92,35,55,91,34,54,88,14,16,73,39,43,17,6,3,64,61,16,78,70,16,30,74,84,93,91,97,83,31,100,26,28,51,15,56,11,35,95,34,2,51,18,23,90,93,62,96,18,49,40,15,28,84,42,62,60,79,17,88,84,89,81,79,23,95,63,23,100,84,90,27,100,96,11,11,21,28,90,40,74,15,56,82,20,99,74,99,64,87,64,15,100,27,28,71,51,21,31,42,86,57,0,40,18,95,80,76,88,63,68,43,15,94,22,66,4,78,88,89,16,90,92,27,60,92,19,99,19,42,31,56,20,89,82,89,18,70,25,2,86,13,84,12,48,73,66,76,30,86,94,26,84,13,30,69,90,82,66,89,4,27,84,89,27,92,8,40,71,76,56,82,68,49,11,61,49,26,64,24,51,72,47,70,55,7,16,15,9,20,87,5,88,19,27,79,100,50
2022-04-24,78,3,12,22,28,73,26,63,77,43,61,80,86,72,25,98,8,67,37,16,42,99,31,20,84,46,27,51,97,0,10,30,48,56,84,92,87,85,81,15,56,77,77,98,0,93,68,46,100,39,13,41,84,88,70,38,85,38,82,46,89,70,14,56,86,24,80,41,86,89,15,68,7,24,59,23,85,5,84,79,67,56,37,14,85,53,52,100,31,54,77,22,13,71,37,42,15,9,3,61,56,16,79,66,7,30,72,89,93,84,100,80,27,97,25,30,54,15,61,11,33,90,37,3,48,22,24,85,90,63,89,20,47,27,8,23,86,40,71,60,77,25,87,84,87,88,86,23,98,70,27,99,82,88,28,93,98,9,12,20,28,85,37,70,16,56,94,18,92,74,95,67,86,53,17,87,28,30,65,41,19,30,44,82,57,10,42,19,89,78,70,82,69,67,50,19,93,21,61,10,61,92,86,16,90,90,27,67,89,17,93,20,48,20,54,19,80,81,89,12,67,27,0,76,14,84,0,48,72,69,71,31,89,94,24,81,16,34,69,90,84,60,83,0,21,85,87,23,95,16,38,79,69,67,79,67,49,10,56,62,28,62,27,45,72,47,72,56,6,17,15,5,27,83,2,91,22,27,80,89,56
2022-05-01,74,0,8,19,26,73,28,62,76,48,56,49,77,66,22,88,9,64,38,15,39,79,27,27,81,47,23,53,92,13,7,32,43,51,77,84,78,79,82,18,46,76,72,88,22,92,64,34,85,36,11,33,81,81,60,39,84,34,86,44,87,78,9,56,79,26,73,39,77,91,15,57,7,21,56,25,59,12,79,76,56,55,36,15,78,43,45,72,30,55,82,14,13,76,32,39,15,2,2,66,49,15,78,64,7,28,67,70,89,72,94,63,27,86,25,28,51,18,52,9,33,95,32,6,57,16,22,83,83,68,87,23,40,22,11,20,83,38,69,56,76,16,84,77,92,77,75,21,100,71,26,94,80,76,22,93,90,11,12,20,19,89,42,71,16,57,80,15,88,66,78,59,82,38,16,76,16,30,65,35,16,27,38,83,61,5,28,16,94,70,68,81,57,71,41,18,90,18,62,9,57,88,80,16,94,86,28,68,86,16,88,18,39,24,54,16,83,79,82,17,74,35,0,68,12,84,11,44,71,73,64,28,87,81,23,75,10,28,69,86,83,63,80,2,25,83,78,24,90,11,35,81,62,57,83,65,48,8,55,60,24,60,24,47,71,43,73,52,10,14,14,6,16,81,7,90,13,27,67,84,46
2022-05-08,79,0,11,9,25,68,31,62,79,37,57,38,91,67,25,88,9,72,37,19,43,100,30,26,84,40,28,50,100,12,9,28,42,51,80,92,86,78,84,16,50,79,81,100,8,86,63,35,82,39,12,38,88,83,52,34,77,39,83,52,85,80,9,54,83,28,81,35,81,91,14,48,5,21,74,21,74,7,88,70,66,50,34,16,76,40,56,93,32,56,79,16,14,77,31,40,22,3,3,62,49,15,74,64,7,28,72,72,86,79,84,83,28,97,23,27,48,11,54,10,32,91,33,4,57,21,22,80,86,62,88,13,46,30,12,19,81,40,85,51,79,19,86,78,92,64,75,20,81,63,27,88,78,68,23,99,98,13,12,19,24,89,39,68,16,46,75,18,90,65,83,64,86,40,17,91,31,28,76,34,20,28,39,88,56,5,30,17,93,79,60,82,56,65,44,14,90,20,56,9,56,93,82,18,92,89,27,62,83,19,89,20,42,22,54,16,88,71,93,17,69,38,0,68,10,80,0,48,73,78,65,28,100,85,26,75,10,30,67,83,82,64,84,2,23,86,78,24,87,7,38,82,65,66,90,64,51,9,60,67,26,62,25,44,72,46,73,55,10,13,18,14,19,78,7,79,22,27,67,84,53
2022-05-15,72,0,9,11,25,71,25,59,76,46,55,76,76,76,24,86,9,70,38,15,40,72,26,11,77,42,25,51,89,16,4,30,41,55,71,87,80,81,78,17,48,75,65,86,37,90,57,37,86,30,12,36,89,86,62,37,78,43,78,50,81,69,7,52,78,25,81,35,82,83,8,37,8,19,59,26,92,4,89,68,61,51,34,15,77,44,40,71,31,56,76,14,15,74,28,37,15,9,2,68,45,13,74,65,7,25,68,71,90,70,78,61,26,81,20,21,50,12,46,9,31,92,24,3,52,18,21,78,82,63,88,13,41,31,10,20,87,38,79,63,81,17,83,82,86,47,74,17,62,60,27,78,91,59,19,94,85,9,7,18,21,86,39,65,17,49,76,17,91,70,76,68,83,35,17,76,25,27,62,28,19,25,41,78,56,5,33,15,79,81,59,86,61,62,40,14,87,20,54,7,57,79,80,17,83,86,22,63,81,16,87,19,35,28,51,19,85,65,86,16,64,27,0,66,12,76,0,47,56,73,60,43,73,74,19,71,12,30,67,82,81,62,79,0,19,84,75,22,84,12,40,67,70,74,78,62,47,8,52,67,20,61,21,44,70,40,69,59,12,17,13,3,16,75,3,88,15,25,59,82,47
2022-05-22,66,0,13,9,27,76,25,57,80,46,56,53,90,80,25,82,10,57,37,15,44,74,28,11,72,31,24,53,80,20,11,28,44,52,71,96,88,77,80,20,48,65,66,81,0,92,52,34,88,31,11,42,91,81,74,37,75,30,79,47,78,63,4,55,80,24,72,36,86,86,6,33,3,20,57,24,66,6,84,69,56,53,33,14,72,44,68,91,30,28,90,18,17,77,28,36,16,8,3,64,47,13,76,71,11,25,64,70,91,77,76,71,23,89,18,21,48,14,42,11,26,85,21,6,49,16,24,86,84,65,82,16,46,35,9,20,80,40,67,51,82,20,88,79,85,39,72,17,63,61,24,83,76,48,19,97,88,8,11,17,23,89,37,65,13,47,70,16,87,77,79,64,84,30,15,68,30,33,64,43,18,27,42,81,55,2,34,15,93,74,55,83,51,65,38,18,91,18,55,3,59,78,77,16,88,82,22,65,92,16,84,20,35,22,56,62,79,62,80,11,71,35,3,72,11,73,0,48,38,82,66,28,65,77,24,79,13,28,68,79,78,65,80,0,24,88,75,21,77,6,38,63,66,56,80,57,49,9,51,61,30,56,21,44,77,41,71,53,10,14,13,3,17,75,2,85,14,23,63,87,44
2022-05-29,70,12,9,12,17,70,22,55,78,37,53,23,82,71,22,85,12,62,35,14,42,62,24,15,76,36,26,49,76,6,5,32,35,56,72,82,78,69,73,15,46,68,56,84,0,84,53,30,82,25,9,32,79,81,62,28,69,28,69,49,76,63,5,53,75,22,61,32,79,81,19,72,11,19,42,17,75,7,73,69,80,53,32,14,69,24,56,80,27,39,62,13,14,73,26,34,15,0,2,63,40,9,72,61,7,24,54,73,88,71,64,53,25,83,17,23,45,15,36,11,25,77,23,12,50,16,14,79,79,70,89,17,43,38,10,19,78,41,50,45,78,22,79,84,83,47,65,16,57,66,21,72,75,55,17,84,83,7,13,18,23,89,33,64,10,42,78,15,87,66,77,68,81,42,9,82,21,27,52,28,16,23,43,78,56,4,28,14,86,71,54,86,50,69,38,19,80,18,47,4,52,79,76,15,80,82,20,65,74,14,82,18,31,21,60,27,70,61,75,14,66,26,0,63,8,71,15,44,40,78,59,26,60,53,16,71,13,27,68,77,82,59,75,0,20,83,71,19,67,13,40,59,64,53,70,61,48,8,49,60,25,56,25,44,69,42,67,50,9,14,12,5,17,68,5,80,12,23,63,72,68
2022-06-05,72,9,10,15,17,72,30,57,79,36,54,61,85,72,25,82,7,81,39,16,43,92,26,27,72,48,23,52,88,16,8,33,38,49,76,87,86,76,77,19,41,71,59,85,9,96,56,27,83,32,10,39,87,79,73,31,70,33,71,50,81,64,7,57,73,24,76,34,84,89,20,98,7,19,66,21,70,9,83,76,95,55,35,15,71,40,39,72,28,43,82,11,18,80,28,33,16,5,0,66,40,14,76,61,3,27,56,68,87,76,75,76,27,88,18,28,53,14,38,7,26,86,28,3,52,14,15,85,86,74,74,20,42,49,10,15,83,39,52,54,78,12,82,84,82,47,67,16,56,67,20,75,79,52,17,88,84,8,11,17,23,86,40,73,10,47,78,14,87,75,81,67,81,43,12,92,22,28,52,36,17,27,55,81,61,3,28,15,82,77,51,80,62,66,36,15,80,19,48,6,56,80,77,18,86,84,21,65,81,13,85,18,37,25,68,20,73,61,82,10,67,31,0,70,8,76,18,48,51,81,68,28,73,62,16,73,12,31,67,78,88,67,75,0,16,86,77,19,70,14,41,60,65,63,78,56,47,9,59,59,25,59,28,43,77,43,65,56,11,15,13,7,18,69,0,90,17,24,66,86,48
2022-06-12,71,0,11,19,25,68,28,55,78,34,53,19,78,66,26,76,10,68,40,13,45,69,25,22,76,22,20,54,70,9,7,36,38,54,75,90,80,75,74,17,39,75,59,77,18,85,53,22,76,38,9,39,84,86,66,37,69,35,79,49,76,61,4,52,80,21,87,32,82,87,15,61,5,18,50,21,72,7,86,100,53,56,31,14,65,36,66,79,28,39,70,14,11,84,28,36,19,0,0,62,34,12,76,81,5,25,56,61,88,69,67,69,30,85,20,23,50,15,35,12,21,86,33,9,47,21,19,86,76,69,88,18,41,31,9,17,78,47,50,47,78,21,76,89,78,37,64,17,56,59,23,76,78,50,19,81,89,6,7,17,18,89,37,63,12,48,75,13,87,75,83,52,80,39,12,70,20,31,57,27,15,24,56,82,60,4,25,15,87,68,53,87,65,67,31,11,82,19,46,5,53,71,70,24,83,82,21,56,85,13,82,17,39,17,63,19,68,59,74,10,66,23,0,69,8,78,0,47,56,81,61,27,54,63,17,66,11,25,66,75,79,63,74,5,18,86,71,20,66,9,39,61,59,68,69,59,46,7,55,50,22,53,23,47,71,44,62,60,12,13,13,7,20,65,3,85,13,23,64,82,35
2022-06-19,70,0,8,7,31,69,28,55,80,38,54,28,85,68,28,73,6,62,46,12,45,71,28,14,79,53,25,53,100,11,3,30,38,54,76,87,88,76,79,18,30,67,59,77,20,94,56,44,78,28,9,35,86,89,56,35,74,18,80,60,73,60,6,57,73,23,77,32,84,99,13,64,8,16,54,28,91,7,72,97,52,59,38,13,64,33,56,74,28,41,77,12,11,84,28,38,18,12,4,64,33,13,78,67,8,25,55,80,93,76,69,68,32,85,27,22,47,9,32,11,23,84,24,4,43,12,16,90,81,68,87,15,41,26,8,16,82,42,44,48,78,16,79,83,73,43,69,16,52,71,24,75,80,61,17,91,94,7,11,18,16,84,41,65,10,43,75,13,88,78,83,54,84,49,16,77,30,32,62,34,16,21,97,82,63,0,23,15,88,69,57,94,63,67,40,8,80,20,37,6,54,75,70,18,82,87,22,65,83,12,85,15,36,11,61,17,73,56,79,17,68,36,3,72,8,71,0,51,33,85,61,27,47,59,25,71,11,30,71,79,89,56,78,2,15,89,69,20,67,13,40,70,63,57,78,60,49,8,61,46,20,51,24,46,72,40,65,59,11,14,14,6,11,59,10,94,12,24,62,89,42
2022-06-26,70,4,6,3,22,71,28,53,72,34,57,40,75,63,25,72,6,62,38,12,44,64,25,21,76,40,25,51,83,0,5,32,34,47,76,86,79,73,77,20,30,72,53,68,0,87,54,30,68,25,9,39,89,78,64,33,71,17,79,43,74,56,4,55,73,21,70,35,85,89,13,64,9,16,51,25,74,8,81,78,50,64,33,13,56,44,43,63,26,34,67,16,9,81,27,39,14,6,3,63,27,12,74,69,4,21,47,63,84,71,66,64,22,92,20,22,41,0,31,11,19,77,21,18,39,13,22,86,75,73,80,12,36,22,9,16,77,41,42,46,79,15,77,79,71,37,62,15,49,73,21,65,79,47,14,80,85,7,9,16,16,100,36,64,17,39,74,13,86,72,73,47,81,40,14,57,23,30,50,31,14,18,100,82,59,0,15,16,83,70,49,90,52,70,33,17,80,17,32,5,55,60,74,16,81,83,19,65,83,11,76,18,34,27,56,16,72,54,74,12,64,32,0,75,9,71,0,43,32,79,59,28,55,60,24,71,10,27,59,86,80,59,72,6,13,91,64,22,59,9,38,57,62,59,78,56,56,7,57,53,18,50,25,46,79,37,54,60,15,14,15,3,10,56,0,87,17,24,63,83,56
2022-07-03,77,10,9,4,19,70,25,52,77,32,54,16,77,77,23,70,11,65,36,11,44,77,24,20,69,33,24,50,82,11,4,31,34,52,84,83,83,70,68,20,21,66,50,70,16,90,51,22,67,23,8,35,74,75,87,33,64,13,74,52,80,42,8,55,79,20,66,33,83,87,8,31,3,13,67,27,84,5,73,72,48,61,34,11,56,25,93,83,27,38,80,11,12,81,23,37,13,10,0,63,28,12,77,65,8,20,44,67,85,72,55,47,22,63,13,19,40,7,28,7,16,94,22,0,43,12,10,81,72,64,78,3,31,22,6,13,72,39,40,40,77,15,77,78,64,28,56,13,45,66,24,64,80,49,13,77,80,8,12,15,15,88,34,62,16,39,80,12,86,73,70,47,78,43,13,60,22,28,55,22,13,17,73,75,65,20,14,13,76,68,48,90,37,63,31,14,81,18,36,6,57,59,70,16,79,79,22,67,86,11,82,17,28,14,60,16,64,45,71,12,67,30,0,73,10,72,0,44,28,83,54,28,44,53,25,66,6,21,72,71,87,61,68,0,9,87,67,20,57,9,41,63,55,57,81,54,62,6,53,51,44,50,18,44,69,38,53,53,8,13,14,7,16,61,0,89,17,22,56,79,43
2022-07-10,67,0,11,17,23,70,26,54,84,37,59,40,74,77,24,73,6,59,43,10,45,61,26,15,76,56,22,54,90,6,7,33,33,45,83,87,84,72,77,18,26,53,50,60,15,100,55,35,67,25,9,36,84,88,50,39,70,16,74,49,83,38,6,57,69,20,73,35,87,91,11,39,7,14,45,22,79,6,85,59,49,63,36,14,56,52,56,77,28,28,60,8,14,80,25,36,14,7,0,66,26,11,75,70,9,19,45,72,91,73,59,57,17,86,21,21,40,9,32,7,17,86,22,5,44,16,21,91,76,74,82,19,28,25,6,15,79,44,43,42,84,18,73,86,74,35,64,13,49,68,28,69,81,40,14,85,92,6,11,15,15,94,36,69,12,41,77,11,87,73,70,51,80,30,13,65,17,28,56,24,13,19,71,74,63,3,16,14,82,70,47,91,75,67,30,11,80,18,31,8,62,55,68,18,81,84,22,64,95,12,85,17,30,13,74,16,65,49,71,12,67,21,0,77,9,71,0,48,33,94,57,30,52,48,24,73,8,23,75,79,88,64,78,6,13,93,65,27,59,7,44,62,59,67,83,54,56,6,52,57,42,55,19,48,77,43,56,55,15,18,14,8,6,60,0,89,17,23,46,85,45
